baby 啤啤	婴儿。
见过晒	都见过，见完了
见过鬼怕黑	一朝被蛇咬，十年怕井绳
见过鬼都怕黑	一朝被蛇咬，十年怕井绳。
见高就拜，见低就踩	比喻媚上欺下
观音坐轿——靠人抬举	歇后语
观音菩萨——不男不女	歇后语
观音菩萨——年年十八	歇后语
观音菩萨，年年十八	观音和菩萨像是镀金的，年年都是那么青春
觉意	留意、留心
觉眼	理会、注意
觉觉猪	小儿语，睡觉
解缆	船要起航，要解开船与码头之间用来固定船只的缆绳
解缬	①解开结，解开疙瘩②比喻解开难题
言之后	然后
詏撬	①不和②争执
詏气	斗气
詏颈	①抬杠②固执
计下度下	想一下，算一下，看看结果如何
计仔	计策、办法。
计仔多多	主意多，办法多
计住	老是要计算著行事
计住晒	整天算计
计唔掂	太繁琐，算不清
计唔清	①无法算得清楚②数也数不清
计埋计埋	把那些都算上。
计掂	算好了
计晒	都算完了
计条数	算一算，看是不是划得来
计极唔啱	算来算去还是算不对
计正	①计算正确②如此说来
计番条数	如此算来，算起来。
计落计落	①如此说来②如此算来
计计埋埋	①如此算来②把所有的数汇总
计过度过	凡事都要想好、算好才付诸行动
认亲认戚	套近乎，跟陌生人认亲，可能有不可告人的目的
认低威	甘拜下风，甘于人下
认住	认著
认住佢	记住他，认準他，日后好找他算账
认叻lek1	逞能
认屎认屁	什么事都认为自己在行，自以为是。
认掯kang3	逞英雄
认真唔话得	肯为人著想，品德好，令人称赞。
认真够运	运气真的很不错。
认真大命	大难不死，必有后福
认真好嘢	①好样的，不错的②有本事的
认真恶顶	真拿他没办法，很难跟他合作。
认真抵买	很便宜，值得买。
认真核突	太难看，不雅，令人恶心
认真湿滞	①遇到十分麻烦的事②糟透了。
认真火滚	很生气，发大脾气
认真识做	很会做，懂得人情世故
认衰	贬低自己
认衰仔	自认本领不及別人，自谦
认返	找回
认返佢	很多年前失散了，现在找回来相认。
记低晒	已经都抄下来，都记录好了。
记住数	赊账，先不给钱，日后一起算。
记到实一实	记得很牢。
记唔住	记不住，记不起来了。
讲下讲下	正说着。
讲中晒	让他全说中了
讲低	交待、告诉
讲佢唔掂	指没办法说服他
讲到白	①坦白地说②讲得明明白白
讲到白晒	话已经说得很明白了
讲口齿	有诚信，讲究信用
讲古	①讲故事②讲条件③讲以前的事
讲古咁讲	讲话很有情节，很生动
讲唔埋	①说不定②两个人谈不来
讲唔定	说不準，说不定。
讲唔掂	①跟他讲道理他不听②说不过他。
讲唔过佢	嘴皮子耍小过他
讲啱	说对了
讲嘢	①讲话②吹牛
讲多无谓，食多湿滞	谓少说多做，吃得太多会伤了身体
讲多错多	讲得越多，讲错的机会就越大。有个寓言故事，大意是说为什么人生下来就有两只眼睛、两只手而只有一张嘴巴呢？就是告诫人们要多看、多做而少说话
讲大话，甩大牙	这是许多父母教育幼儿要诚实的「名言」，只要说谎，大牙就会掉
讲少句	少说两句
讲开	说起这个话题
讲开又讲	说起这事我就想多说几句
讲得两讲	说了一会儿，说了一段时间，也说成「讲得几讲」
讲得几啱	说得也挺有道理的
讲得啱	说得也是，说得对
讲心嗰句	讲句心里话吧
讲数	讨价还价
讲数口	①指讲价钱，讲条件②谈判
讲时天下无敌，做时有心无力	讲一套，做一套，关键时候没人要
讲明讲白	对一些接受和反应较慢的人，应该在做之前认真耐心地给他讲明白。
讲是讲非	专做那些挑拨离间，唯恐天下不乱的事。
讲晒	讲完了
讲来讲去三幅被	语言无味，缺乏新意。
讲极唔明	向他说了一大通道理，他还是不明白。
讲波	足球比赛的解说员，有现场讲解、电台转播、电视实况三种足球解说员。
讲波佬	电台、电视的足球解说员。
讲清讲楚	细致地讲清楚
讲穿	说穿了
讲笑	说笑、开玩笑
讲笑咁讲	像说笑那样，开玩笑那样，你不要太认真
讲笑搵第样	开玩笑也要找其他的事来开
讲粗口	满口的污言秽语
讲耶稣	①说废话②说教，长篇大论
讲落	说起来
讲衰	贬低別人
讲讲下	正说着
讲讲笑笑	①有说有笑②时常开开玩笑
讲说话	说话，讲话
讲起一匹布咁长	说来话长
讲返转头	话又说回来
讲金唔讲心	有些年轻姑娘找对象时往往先看他的钱夹子，而不讲感情与品德。
讲钱失感情	钱不是万能的，人还是要有点精神、讲点感情
讲閒话	背后说人家的坏话
讹咗几日	哆哆嗦嗦说了几天
论尽	笨、不利索
论论尽尽	多指老人家干活不够麻利
识乜嘢	你懂什么。
识人要带眼	认识朋友要仔细辨別，不要被表面的假象所欺骗
识做	会做
识做啲	①很会做②形容会拉关系那一套
识医唔识药，十医九唔著	懂得医术但不懂药物的功效，那往往治不好病人。
识叹	懂得享受
识啲	只会一点点
识啲唔识啲	一知半解，似懂非懂。
识啲啲扮老师	会一点点就以为自己可以当教师了。
识嘟	很会做，懂得待人接物的方法（do）。
识嘢	①认识许多物品②懂得事物规律
识埞	「埞」指地方，认识路线及目的地
识少少扮代表	懂一点就以为自己很了不起。
识弹唔识唱	只会说人家，自己不会干。
识得	认识、懂得
识性	懂事、有出息
识破宇胆	指读错字
识穿	（被）识破
识穿咗	被识破了
识药唔识症，十医九唔应	懂得了药物特点但不懂得病症，这样也不能对症下药
识讲嘢	指口若悬河，能言善辩
识谂	会想、会动脑
识走位	球员会抢位置，引申为会走官场之道，想方设法得到上级的赏识
识转弯	比喻办事不循规蹈矩，会灵活运用。
识转膊	农民挑担，左右换肩膀，引申为不死板，灵活执行
识转軚	会拐弯，指人灵活
识都唔识	①一点也不认识②一点也不会。
识食	很会吃喝、精于饮食的人
识食分子	①会吃喝的人②谐音积极分子，通常用作嘲讽积极肯干的人
识饮识食	指精于吃喝的人
诈下懵	装傻，装糊涂。
诈傻扮懵	装糊涂、装傻
诈呆诈吽	形容人装傻，装愚笨
诈唔知	假装不知道，明明知道又说不知道
诈妈娇	形容小孩在母亲面前撒娇
诈娇	撒娇
诈娇诈嗲	爱撒娇
诈家意	假装，佯做，假意做
诈帝	假装
诈懵、诈傻	意思相近，比喻装聋扮哑
诈生赖死	装死撒赖以向人勒索
诈病	装病
诈癫扮傻	装傻充愣，俗称扮猪食老虎。
诈瞓	假装睡着了
诈糊	麻将术语还没糊或者看错了把牌摊开说糊了
诈聋扮哑	装聋作哑。
诈营	指故意装傻来和麻痹对方。[注]另解：（酒楼客人）故意没事找事
诈诈帝	装蒜，扮好人
诈诈帝帝	①假意应承，装好人②虚伪的。
诋（音帝dai3）近下	①故意找茬②以气人为乐
话三话四	不讲老实话，说些不著边际的话
话中	说对了
话之佢	管他呢，意为不用去理会他
话乜就乜	这小孩真是，说要什么就要什么
话乜话物	①顾左右而言他②推三推四，闪烁其词
话事	做主、说了算
话人	说別人、批评別人
话你唔听	说你你又不听
话你唔好意思，嬲你你又唔知	当你得罪別人时，人家说你又不好意思，对你生气你又不知道
话你知	说给你听
话做就做	说干就干，绝不拖泥带水
话到屘	说到底
话到明	已经说得很明白了
话口	话茬儿
话口未完	①话还没讲完②话音刚落
话咁快	形容十分快捷，迅速
话咁易	就像说话那么容易
话咗你	早就说你不要这样干，你又不听
话唔倒事	没能大权在握，没有话事权。
话唔听	说他又不听，我行我素
话唔埋	说不定，说不準。也说成「话唔定」
话噉就噉	①说这样就这样②说一不二
话头唔醒屘	比喻一些人迟钝、不机灵，不会察言观色。
话头醒屘	举一反三，反应灵敏
话就咁话	说是这么说
话得事	指有权力的、说话管用的人。
话斋	正像他说的那样
话时话	话又说回来
话是偈	（某人）说的。通常用来转述別人的话时用，且自己也有同感
话晒	①说到最后②全部说完
话晒你知	全部真相都告诉你
话点就点	说怎样就怎样，真拿他没办法
话犹未了	话还没有说完，马上就有事发生了。
话说	从什么什么说起
话都冇咁快	指行动快捷，说一句话的功夫就搞好了
该殃	该遭殃
该煨wui1	遭了殃
该衰	倒了楣
请枪	请別人为自己代考，弄虚作假。
请饮	请別人喝喜酒
诸事八卦	①指饶舌②什么事情都爱打听，即包打听③多管閒事
诸多事实	让他干活，他总有很多理由和事实不想干
诸多事干	①就你多事②很多杂七杂八的事缠著。
读书人讲诗篇，耕田人讲莳田	形象地比喻行业不同，关心的事物也不同，「莳si6田」即插秧。
读遍天下书，难写十三工	许多有文化的人，一下子也难以写出十三个跟「工」同音的字，如公、弓、攻等
谂下先	先考虑一下
谂下度下	想一下，考虑一下
谂下计	想一想有什么办法对付
谂住	①準备②惦记着。
谂创你嘅心	你呀，別做白日梦啦，那件事不可能
谂到去边	你想到哪里去了。
谂到头赤	想啊想啊，想得头大了，头疼了
谂到无计	想来想去也想不出什么好的办法来
谂前谂后	思前想后
谂后路	多为日后想想，为以后多考虑。
谂唔掂	想不通。
谂唔过	想来想去还是觉得划不来，不合算。
谂嚟谂去	想来想去。
谂埋一边	只想到问题的一个方面
谂头	念头、想法
谂头多	凡事三思而后行，深思熟虑再行动
谂好	想好了办法。
谂归边	想到一边去了，不会全面思考。
谂得绝	想的办法真是天上有，地下无，太绝了
谂得通	想通了，想明白了
谂掂	想通、决定了
谂掂咗	想通了。
谂极唔明	想来想去就是想不通
谂死计	尽想那些行不通的办法
谂清谂楚	认认真真想清楚。
谂真	仔细考虑，想清楚。
谂真啲	认真考虑，想清楚
谂窍	找窍门、想办法
谂缩数	打小算盘，想着少花钱
谂落	细想一下
谂落唔抵	想来想去还是觉得这样吃亏了。
谂落唔掂	想来想去这个办法好像行不通。
谂计	出点子、想办法
谂谂下	想来想去，思前想后。
谂谂计	想一想有什么好办法
谂起	想起来。
谂过	想一想看看。
谂过度过	思考再三，再作决定
谂返起	终于想起来了
谂返转头	回过头来想一想
谂通	想通了
谂都唔好谂	那件事，你想都不要想
谂错格	想歪了
调转便	翻转过来
谢鸡	连鸡也谢幕了，玩完了
谰laan4醒	①自以为很聪明、有本事②骄傲自大。
谰叻	自以为很能干，很聪明
谰在行	自恃内行，自以为很内行。
谰大方	假装大方，充豪爽。
谰大枝野	装阔少、扮大款，自以为了不起。
谰客气	假客气，虚伪的客气
谰得戚	①洋洋得意②自以为是
谰有嘢	自恃有本事
谰有宝	自以为很了不起
谰架势	充排场，假装气派
谰正经	假装正经。
谰熟落	装出熟悉的样子，和別人套近乎
谷住	气鼓鼓的
谷住成肚气	非常生气、气坏了。
谷住气	生气、憋了一肚子气
谷住谷住	气鼓鼓的样子
谷到爆	发火，怒气冲冲，憋了很久的气快要爆炸
谷围	盛稻谷的囤
谷埋去	使劲地湧向球门。
谷埋成饱腮	指恼火、愤怒的样子。
谷埋腮	①生气，发脾气的样子②腮帮子鼓起来。
谷埋谷埋	憋了一肚子气。
谷气	一肚子闷气
谷爆	气得不轻，快要爆炸了
谷牛	藏在谷物里的害虫。
谷鞋谷袜	大热天的也穿着皮鞋，穿着袜子，也不怕脚给包裹坏了。
豆仔	四季豆
豆沙包——黑心	形容黑心肠
豆沙喉	嗓音低沉，沙哑
豆泥	劣等，低级
豆润	①小豆腐干②一丁点
豆润咁大	形容房间窄小，不够宽敞
豆皮	麻子
豆窿	小孔
豆粉	太白粉
豆腐价钱，烧鹅味道	比喻物美价廉。
豆腐刀——两面光	①做人处世比较圆滑②两面派。
豆腐捞醋——好做唔做	①越弄越糟②没事找事
豆钉	矮小的个子
豆钉仔	指男孩长得瘦小，个子小
豆钉咁大粒	①像豆子、钉子那么小②个子长得小
豆钉咁细	形容很细小
豉油	醬油
豉油捞饭——整色整水	形容故弄玄虚，装样子，装门面
豉油樽积——咸湿	①咸咸的，黏糊糊的②淫秽，下流的
豉油碟——任人点	自己没有话语权，人家怎样指挥，你就得怎样做
贡下贡下	形容小孩了钻来钻去
贡嚟贡去	指小孩子钻来钻去，到处乱串
财多身子弱	富人锻炼身体的时间不多，自然就会体弱多病。
财多身子弱，钱多瞓唔著	有钱却有病，钱多反而睡不着。世界上就这么奇怪，没什么钱的人往往身体棒棒的，而且睡得很安稳。
财来自有方	钱财自有正确的方式去获取。
财来自有方，唔使咁徬徨	君子爱财，取之有道，不要太刻意去获取。
责亲	压伤
责坏	压坏
责死	被压死了
责象田	象棋术语，比喻阻止別人的行动
贪口爽	①随口说着玩，不兌现②顺口答应而又不去做。
贪头	贪图之物
贪平	贪便宜
贪得意	图好玩、过瘾、有趣
贪新唔厌旧	有些有钱的男人家外有家，喜新不厌旧，享齐人之福
贪潇湘	贪图身材苗条而少穿衣服
贪试新	贪图尝试新鲜。
贪近	绕近路
贪靓	爱美、爱打扮
贪食	好吃（懒做）
贱格	品行、品德较差
贴钱买难受	最好的例子就是出去旅游，花了钱跟旅游团，结果货不对板，心不甘，气不顺。
贴钱做嘢	自己先贴费用，最后才结算工钱。
贴错门神	两人意见不合，见面互不理睬
贴错门神——面阻阻	门神大多是关公和秦叔宝，比喻大家有意见，心里有疙瘩
贵人多忘事	指有身份的人很容易忘掉些小事
贵人招风雨	俗话说，贵人出门招风雨。出门在外遇到天气不好，.就权当聊以自慰吧。
贵利	高利贷
贵到飞起	形容物价飞涨，贵得很
贵咗	升价、涨价了
贵嘢	贵重东西
贵夹唔饱	去一些大酒店吃饭钱花了不少，却吃不饱
贵夹食唔饱	一些富丽堂皇的饭店，吃一顿价格不菲，而且还吃不饱，市民戏称吃装修
费事理	懒得去管，不闻不问
费事问	懒得去问
贼眉贼眼	做贼的人眼睛总是左顾右盼，在寻找目标
贼眉贼脑	一副做贼心虚的嘴脸，内行的人一看就知道
赊住先	先垫著，赊数
赔汤药	赔偿伤者的医药费
赔返嚟	有理方向无理方索赔
赖人	推卸责任给別人
赖低	①掉队了②物品忘记拿走
赖床	早上该起床而不愿起，老想多睡一会儿
赖晒佢	把什么责任都推到他的身上
赖死	耍赖、不队账
赖猫	①耍赖②不认账。
赖错人	冤枉了別人，错怪人
赚倒	扭亏为盈赚了一笔
赚咗	赚了
赚头蚀屘	做生意经常是这样，开始时赚得不少，到后来因货尾要便宜卖，「三折大甩卖」
赛中	赛季的中段
赠兴	①高高兴兴来凑热闹②诚心为別人高兴。
赢波	①球队赢得了比赛②赌球赌赢了。
赢输冇时定	赢和输是可以互相转化的，也说不定什么时候就转化，正所谓胜不骄，败不馁
赢返次	终于才赢回一次，赢了一盘。
赤夹痛	形容伤口一阵阵疼痛
赤手赤脚	①赤手空拳去对付敌人②冬天的时候气温低，冷得手脚发殭
走人	先回去了、跑了
走人	罢踢，离场抗议。
走位	跑位。
走佬	逃跑①引申为卷款而逃②老婆跟別人跑了
走债	躲债
走到气咳	拼命跑，跑得喘不过气来
走单	不结账就溜了
走咗	①走了②婉辞，离开人世
走咗佬	一般指老板卷款而逃
走咗宝	①丧失了一次很好的机会②形容丟失了宝贝。
走唔切	①来不及走②走不掉
走唔甩	跑不掉了
走埠	跑江湖
走头	离开
走夹唔唞	拼命地逃跑，连歇一歇也不愿意
走宝	失去了一次好机会
走得靓	带球突破，打得漂亮。
走晒	跑光了
走水	猪牛等大牲畜错过发情期
走油	略微炸一下
走漏眼	看走了眼
走火	男青年梦遗的俗称
走甩	看不住、跑失了
走甩身	终于脱得开身了。
走记	离去
走趯dek3	①走动②跑腿③奔波
走都走唔切	逃跑也来不及了。
走鬼	街上的无牌摊贩，因应付城管的驱赶跑来跑去而得名
走鸡	错失了一次好机会。
赵埋去	不管那么多，射门再说。
赶住	赶着去
赶住去投胎	形容十分急躁而又毛手毛脚的人
赶佢扯	撵他走，赶他回家
赶唔切	时间很紧，来不及了
赶头赶命	急急忙忙赶时间
赶扯	赶他回家
起上来	放在动词后面，表示动作开始进行。例：喊起上来，即哭起来的意思
起价	加价、升价。
起佢屘注	①捡他的便宜②骗他的财物
起佢底	把他的底细、老底等等都翻出来让別人看看
起先	起初
起势	一个劲地、拼命地。
起势倾	使劲地聊天，谈个没完
起势行	拼命地走，赶路
起后脚	①指驴马之类的动物尥蹶子②比喻暗算別人。
起大屋	盖大的、好的房子，这是许多农村人毕生为之奋斗的目标。
起屋	盖房子
起屘注	①捡便宜，吃现成的②指偷、骗取财物。
起心	有了意思，起了贪念
起手	开始
起晒镜	形容衣服很脏，可以用来照镜子了
起枕	手上长茧子。
起病	发病
起痰	看财物、美色而起贪念
起租	涨租金。
起筷	客套话，主人请客人吃饭时用。
起脚	①起程、开始动身②踢人。
起脚掹	起脚打射门
起膊	把东西挑、摃起来。
起花	烹饪用语，把食物划出花纹但不切断
起菜	人齐了，可以上菜了。
起行	动身远行
起货	①把货物搬进仓库②商业语，取货
起踭	用手肘碰撞人
起身	起床、起来
起返身	站了起来
起镬	①炝锅②出锅
起飞脚	背叛你的人还会踢你一脚
起骨	剔去骨头。
起鸡皮	身上起疙瘩。
趁你病，攞你命	①落井下石②痛打落水狗。
趁势	要趁着那一股气势去干。
趁墟	赶集、赶场
趁热	食物要趁着热乎乎吃才好
越打越狼	越打越兇，越厉害。
越搞越大单	①把事情搞大了②越弄越糟
越洗越邋遢——就系水	水是越洗越脏的，比喻某人技艺不高，水平较低
越睇越有瘾	越看越喜欢看。
越谂越头赤	①越想越头疼②想来想去还没有想出个好办法
趣怪	活泼有趣，讨人喜欢
趣致	有趣、逗人喜欢
趯佬	走人
趯咗	跑了，回去了
趯唔切	跑得太慢了跑不赢，跑不掉
趯返嚟	逃回来
趯（音笛）更	①逃跑②开小差
趷起条尾就知你屙屎屙尿	比喻你的一举一动都逃不过我的眼睛
趷跛跛	小儿游戏，指单脚跳跃
趸趸敏敏	指人长得圆圆的但十分结实
跋咗	脚崴了一下
跋手	胳臂伸屈不灵
跋脚	脚瘸
跌亲	摔了一下
跌亲下	摔了一下，不厉害
跌价	降价、掉价
跌伤	摔伤了
跌低	掉倒了
跌咗	弄丟、不见
跌咗	①摔倒②丟失③掉（下）
跌晒眼镜	预测战果完全不对，相差甚远
跌烂	摔坏了
跌眼镜	①眼镜摔在地上②失算，结果与预算不符。
跌落	摔下来
跌落地下，揦番拃沙	自己给自己一个下台的台阶
跌落坑渠	掉进污水沟里了
跌跛脚	摔断了腿，很严重。
跑唔起	跑不动。
跑街	店铺中管接货送货的人
跑马	①马会比赛②丧失了机会
跛脚鹩哥有自来蜢	①比喻获得意外好处②即傻人有傻福。
跟下眼	帮忙盯着点，注意某个目标
跟人哋	抬人牙慧，按別人的计划行事。
跟住屘	①老是跟在別人屁股后头②盯梢
跟住落嚟	接下来是
跟到实	紧跟对方，贴身防守。
跟到贴	紧跟，跟得紧
跟实	紧跟、紧接着。
跟屘	紧跟在后头。
跟屘狗	形容小孩子老是跟在大人后面缠人
跟手	①接着、跟著②让別人接手。
跟手尾	①留下一些手尾工作让人干②替人家「擦屁股」
跟眼	帮忙盯着点
跟贴	像影子一样贴着重点球员
跪地喂猪乸——揸颈就命	为了达到某些目标，只好忍气吞声
路上执倒空，问神问鬼攞唔倒	捡到东西，据为己有后还振振有词。从法律的角度看，这是不当收入，理应退还给失主
路有九曲八弯，人有三衰六旺	人的命运正如人的体力、智力、情绪一样有高潮低潮，这是不奇怪的
跳下跳下	形容小孩跑着、跳着
跳大海	小孩游戏，在地上画方格子，以瓦片投入，然后轮流用一足跳而蹴之，使瓦片升入上一格
跳楼价	商家手法，耸人听闻，吸引眼球
跳橡筋	小孩跳橡皮筋游戏
跳皮	顽皮、淘气
跳紥紥	①坐不定②跑跑跳跳。
跳落	跳下来
踎一阵	①指蹲一会儿②在那个单位干一下，呆一下。
踎低	蹲在那、蹲下
踎低身	蹲下身体，弯下腰
踎唔住	①指蹲不下去②在某公司待不下去了
踎唔耐	①指蹲不久②在这里呆不了多长时间
踎喺	蹲在那儿。
踎坑	俗称上茅厕拉大便。
踎监	牢狱之灾
踢亲	踢伤了。
踢唔喐	①没力气，踢不动（球）②赶他去干活，他却不动。
踢晒脚	①形容忙得很，忙得要命②手忙脚乱，乱成一团。
踢档	到別人做生意的地方搞破坏，捣乱。
踢波	踢球
踢波	踢球，踢足球。
踢燕	踢毽子
踢爆	向外界讲出真相以及一些爆炸性的新闻
踢爆咗	①球踢坏了②阴谋被揭穿了
踢窦	黑吃黑，破坏人家经营的场地
踢脚	①手忙脚乱②很被动③乱糟糟的
踢著脚	①指所遇到的，所碰到之处②脚所碰到的
踩三轮	①骑三个轮子的脚踏车②玩扑克牌「十三张」（可用于赌博）时只有三对牌，戏称「无花无顺不如踩三轮」
踩亲	被踩伤了
踩亲佢条尾	①碰触到他的痛处②好像有什么东西得罪了他
踩亲条尾	比喻有些人很敏感，一句不经意的话就好像得罪了他，令他跳起来
踩低	①脚丫踩下去②打击別人，抬高自己。
踩低人	贬低別人，抬高自己
踩住佢	①不能让他起来②拼命压制他，不让他冒尖
踩到咁尽	形容一些人整人十分使劲，最后还想落井下石
踩到尽	一朝沦落便会被人羞辱，颜面尽失
踩唔落	没有下脚的地方，形容地方又脏又乱
踩场	黑社会捣乱，把別人经营的场所搞坏，以达到自己的目的
踩屐	溜旱冰
踩得就踩	①有压制別人的机会就赶紧压制②诋毁人家。
踩水	在游泳池里双脚踩下去使身体浮起来。
踩水影	游泳时使身体不沉于水中，用脚踩水，但又不前进。
踩波车	踩到足球上面去了。
踩脚唔落	没有下脚的地方，形容地方又脏又乱。
踩西瓜皮	①不小心踩了「地雷」，摔了一跤②比喻自己倒楣不走运
踩车	骑自行车
踩软索	①走缆绳，杂技的一种②指做贼，梁上君子
踩钢线（音癣sin2）	杂技的一种，走钢丝。
踩错脚	失脚，一脚踏空。
踩雪屐（音剧kek6）	指溜旱冰
躁暴	性急、强脾气
身上有屎狗跟踪	自己的把柄被人抓着。
身光颈靓	形容打扮得光鲜
身娇肉贵	身体很娇，干不了重活
身家	家产
身有屎	自己的身上存在这样那样的问题，还有见不得人的毛病
身水身汗	指满身大汗
身痕	身上痒痒的
身跟	身边
车亲	被车轧著了
车亲人	车轧著人了
车仔	①小型的车②人力车
车卡	公共汽车月票
车呔	车轮胎
车咗	①已经运好了②已经缝好了
车嘢	①用缝纫机缝衣服②用机动车载货物
车埋佢	让他搭顺风车吧。
车大奅	吹牛皮，侃大山
车天车地	胡吹海侃，神聊。
车衫	缝纫机缝衣服
车軚	方向盘
车辘	车轮
车间金鱼	在车间里游来游去不干活的人。
转咗工	换了工作
转咗行	①换了行业②换了工作
转头	①掉转头②一会儿
转头见	回头见
转性	脾气整个变了
转晒軚	形容支持者改变态度，转而支持另一方。
转軚	掉转了方向，改变主意
转过便	转过身。
轮更	轮班
软夸夸	软乎乎的，疲软无力。
软晒	软了。
软濑濑	①身休软绵绵的②人无力气
软熟	柔软
软皮蛇	对批评意见采取无所谓态度的人。
软胎	软乎乎的
软脚蟹	腿发软，正像某些足球运动员冲到对方大门时却忽然脚发软，踢不好球
软腍腍	性格软弱。
软饪饪	摸上去很软，软和
轻泡泡	物品较轻
载住	载着。
载埋	一块搭载。
载饭	盛饭
较早时	刚刚不久，前些时间发生的。也说「较早前」
较脚	指以前偷渡去香港
较飞	找人来做试验品
输到眼都突	形容赌徒输到眼红，眼睛瞪得大大的
输到贴地	形容输得很惨
输咗几条街	隔了几条大街，比喻与別人相差太远，输了很多。
输晒	输个精光。
输晒老婆本	连娶老婆的本钱也输光了
输波	输掉比赛。
输清光	全输光了
输硬	预计这次肯定是输的
输蚀	①吃亏、不合算②差劲、次一等的
输赌	打赌
辛苦折堕	做一些低等的、下层的、十分劳累的工作。
辛苦搵嚟自在食	辛辛苦苦赚来的钱，就要懂得去享受
边个	谁呀
边个信	谁相信
边个打边个	谁跟谁，搞不清楚哪个跟哪个
边个肯	谁答应
边位	哪位
边度	哪里
边度关事	哪里关他的事，与他无关
边度凉爽边度瞓	一边去，別在这打扰別人
边度唔掂	哪里没办妥，还有哪些没做好的
边度得	哪里可以，谁说行
边度有咁啱	哪里有这么巧的事
边度系	哪里是
边度系手脚	你哪里是他的对手
边恕	哪里
边恕搵	到哪里去找
边有	哪里有
边有咁大只蛤乸随街跳	天上掉下大馅饼，哪里会有这么便宜的事情？
边有数为	①这桩生意不合算②不值得去干
边有话	哪里有这么说的
边有谱	哪坚会按照常理去干
边炉锅	吃火锅时用的锅
边知	哪里知道
边知死	哪里会知道危险的存在
边系	哪里是
边路货色	贬义，哪一路的货色。
过主	到一边去
过云雨	阵雨，时间不长的中雨
过便	透过背面
过冷河	面条先煮开了，然后拿到凉水里泡，过过水再重新煮。
过咗	已经去了
过咗一排	过了一段时间
过咗庙	错过了机会。
过咗海就系神仙	躲过这一劫就会快乐似神仙
过咗身	指死去了
过咗阵	过了一会儿
过咗骨	通过了，过关了。
过唔倒	想过人过不了，被人家拦下来。
过唔去	①过不去②故意刁难別人
过埠fau6	漂洋过海、出洋
过基峡	一种毒蛇
过基峡	银环蛇。
过头笠	套头的，用于衣服
过密筛	比喻经受过重重苦难
过山风	一种毒蛇
过底纸	即复写纸
过庙	错过时候
过得骨	①及格以上，过了某种关口②办事到家，过得硬
过态	太过了、过分
过数	划账、转账
过日晨	①消磨时间②混日子
过晒界	超越了一定的范围
过晒龙	①过了头，超过一定限度②过了目的地③超过一定的时间
过晒龙	过了头
过晒龙	过头过得很厉害。
过期中药——发烂渣	①熬过的中药成了烂渣②指耍无赖的人
过树榕	指一种毒蛇
过树榕	灰鼠蛇。
过档	跳槽
过桥	找某人做跳板
过气老倌	指不再担任领导职务，到退休年龄的人，有一种「人走茶凉」的感觉
过气老倌——沉晒音	①没有声息，原指戏曲演员②引申为各方面下了台的人物。
过水	①食物用热水焯一下②在学校里随便学，文凭是混出来的
过水湿脚，过眼云烟	过河湿鞋的事是常有的，很快就会过去的
过水磨	用水把砖墙或地砖磨光滑
过江龙	外江来的强者
过河卒	①象棋术语，比喻只可向前，不能退后②指被利用者
过海	渡江[注]另指去澳门（赌钱）。
过海系神仙	过了这一关就会很顺利了
过界	超越了边界、范围
过番两招	双方比武，互拆儿招
过身	逝世、死亡
过造	过了季节
过骨	过关了、过去了
过龙	带球走过了头
过龙	过头了
迎风眼流泪，行路打倒吞，屙尿射湿鞋，放屁屎就来	指老人家走路不稳，动作缓慢，反应迟钝等衰老现象。
运吉	①没事找事做②捣乱
运嘢	运载货物
运大吉	绕了一个大弯，白干了
运滞	这段时间运气欠佳
运路行	绕道而行，免得「冤家路窄」
近住	靠近
近嚟	最近
近官得力，近厨得食	有个当官的亲戚好办事，有个做厨师的朋友就容易吃到好东西
近山食木，近水食竹	即靠山吃山，靠水吃水。
近排	最近一段时间
近柱	发角球时离发球点较近的门柱
近磅	已经很接近了
近磅	已经很接近了，射门有威胁了
近身	主人身旁的佣人
返乡下耕田	骂人不中用，你还不如回家种地去吧
返去	回去
返唔切	形容急着回去
返头嫁	指女人再嫁
返学	上学
返寻味	好味，值得回味
返屋企	回家去
返工	①上班、开工②零件不合格要重做
返归	回家，回老家
返归执猪屎	没有本事的人就只好回家乡务农了。
返扯	回家；回去。
返潮	梅雨季节空气潮湿
返生	复活
返落去	①下去②泛指香港人探亲后返回香港。
返转	回转
返转头	回过头来，倒回来
返铺头	回铺子照看
还得神落	一切如愿以偿，因而值得酬谢神灵
远日无冤，近日无仇	无论是以前还是最近，（跟他）都没有什么冤仇。
远柱	发角球时离发球点较远的门柱。
远睇未清，近睇分明	远处看不清，近处看得明
连埋	连在一块
连气	连续，接着
连气几日	指连续几天
连渣都冇	亏大了，输得很厉害
连除	紧接着，马上
迟嚟先上岸	①原意摆渡小船，迟上船却早下船②比喻迟入考场却第一个交卷。
迟禾实冇谷	农家谚语，迟插的秧很难长出稻谷
迭埋心水	形容专心致志，认真投入
迷迷懵	神志不清，迷迷糊糊
追住嚟	①紧追不舍②別人已经赶上来了。
追佢九条街	別人欠了很多债务，跟他没完
追到行	形容紧追不舍
追死人	指某姑娘长得很漂亮，有很多追随者
追狗入穷卷——反咬一口	①追狗追到死胡同，没有好处②比喻不要赶尽杀绝。
追瘦你	你欠了人家的东西。別人常缠著你
送上门的买卖——好做	不用那么劳苦奔波，十分容易做
送人	①把东西送给別人②送客人出门
送口	小儿喝苦药后给一颗糖果吃。
送畀	送给。
