𫵱	cat6 【俗】男生殖器。
羊咩须	joeng4 me1 sou1 山羊胡子(羊咩：羊)。呢个年轻人留咗执～，好肉酸啊。(这小伙子蓄了一撮山羊胡子，好难看哟。)
羊牯	joeng4 gu2 公羊。
羊牯	joeng4 gu2 【喻】任人宰割的人。
羞家	sau1 gaa1 感到害羞。男仔着女仔衫，～啰！(男孩子穿女孩子衣服，羞啊！)
群埋	kwan4 maai4 结交；与某些人为伴(一般指较多的人。略含贬义)。一日～啲唔识字墨嘅人。(整天跟没文化的人混在一起。)
羹	gang1 音更换之更。汤匙；小勺儿。
翕	jap6(jaap6) 摇摆；左右或上下摆动。见嗰面旗仔呢头～下，嗰头～下，好似系个乜嘢信号。(只见那面旗子向这头摆几下，向那头摇几下，好像是个什么信号。)
翕手	jaap6(jap6) sau2 招手。～打部的士过嚟。(招手叫计程车过来。)[香港审音网翕音jap1，异读hap1]
翘钉	kiu3 deng1 同「吊钉」。
翳	ai3 (胸)闷。个心好～。(胸很闷。)
翳	ai3 心情烦闷；憋气。呢排个心好～。(这些日子心里很烦闷。)
翳	ai3故意使人生气(尤指以调戏的方法激怒人，又使其无法发作)。将佢撚咗一次又一次，～到佢死。(把他捉弄了一回又一回，气得他要死。)
翳(曀)	ai3 (房屋等)低矮(使人有压抑的感觉)。呢种楼层得两米半，～到死。(这种楼层只有两米五，局促得要死。)
翳(曀)	ai3 闷热。广州嘅夏天好～，而家好多人屋企都装咗空调。(广州的夏天很闷热，现在很多人家里都装了空调机。)
翳(曀)	ai3 昏暗。呢个厅采光唔好，～咗啲。(这个客厅采光不好，暗了点儿。)│天咁～，系咪想落雨呢？(天这么阴沉，会不会下雨呢？)
翳(曀)焗(焅)	ai3 guk6 闷热。咿几日认真～，可能要打风嘞。(这几天真是闷热难当，可能要刮台风了。)
翳气	ai3 hei3 因受了气而心情烦躁或抑郁；憋气。无厘头畀佢闹一餐，真系～！(无端被他骂一顿，真是憋气！)
翻(返)	faan1 回。～屋企(回家)│～上楼。(折回楼上去。)│行～呢便嚟。(走回这边来。)│～入去(回到里头去)│你～落嚟。(你回到下面来。)
翻去	faan1 heoi3 回去。我哋架车10点钟～。(我们的车子10点钟回去。)│你唔好落～喇。(你别回到下面去了。)│冚𠾴唥趸～。(全部放回去。)
翻嚟	faan1 lai4 回来。而家先～。(现在才回来。)│掉咗又执～。(扔了又捡回来。)
翻头婆	faan1 tau4 po4 【贬】再婚妇女；二婚头(这是歧视妇女的称呼)。
翻头嫁	faan1 tau4 gaa3 (女子)再嫁(略带贬义色彩)。
翻抄	faan1 caau1 再生。～橡胶│～纸
翻渣	faan1 zaa1 把药渣子重煮一遍(以尽量利用其药效)。 ～药(煮第二遍的药)│呢剂药最好～。(这剂药最好重煮一遍。)
翻生	faan1 saang1 本义为复活。旧俗：巳婚女子去世，其丈夫再娶，原来的岳家认他的新妻子为亲人，称为「～XX」。～女│～大姐│～细妹。
翻生	faan1 saang1 复活。我呢匀系死咗又～嘅。(我这回是死了又复活的。)
翻草	faan1 cou2 (牛羊等)反刍。
翻转头	faan1 zyun3 tau4 往回；掉头。唔记得攞锁匙，又试～去攞。(忘了拿钥匙，又回头去拿。)
翻风	faan1 fung1 刮风。～喇，着多件衫先好出门口噃！(刮风了，多穿件衣服才可以出去！)
翼	jik6 翅膀。鸡～(鸡翅膀)
老举	lou5 geoi2 【贬】【旧】妓女(旧时挂牌招客者)
老二	lou5 ji6-2 【俗】警察。
老亲(衬)	lou5 can3 被人捉弄的人。你想揾我做～啊？(你想把我当傻瓜捉弄吗？)
老亲(衬)	lou5 can3 【谑】亲家。[由于此词另有不大好的意思，所以不大使用，如用到则带玩笑口吻。]
老人精	lou5 jan4 zing1【贬】过分老成的孩子。
老公	lou5 gung1 丈夫。
老千	lou5 cin1 【贬】骗子。
老卓	lou5 coek3 做事老到、精明。先升炮再退士，呢一着都算～喇。(先进炮再退士，这一招也算老到了。)
老友记	lou5 jau5 gei3 ①交情很深的朋友。呢个系我嘅～。(这是我的老朋友。)②江湖上对不相识的人的称呼，略有套近乎的口气。～，唔使 咁嬲啊！(朋友，不必那么生气嘛！)[又作「老友」]
老啮啮	lou5-2 ngat6 ngat6(nget6 nget6) 很老的样子。嗰个老坑～都仲行得咁快。(那老头非常老了还走得那么快。)
老嘢	lou5 je5 【贬】对老人不尊重的你呼(不分性别。嘢：东西)。
老土	lou5 tou2 【贬】土气。你呢个发型～啲噃。(你这个发型土了点儿。)
老坑公	lou5 haang1 gung1 老年男性；老头(略带贬义)。[又作「老坑」]
老坑婆	lou5 haang1 po4-2 婆读第2声。老年女性；老太婆(略带贬义)。
老大	lou5 daai6-2 上年纪的人(与年轻人相对而言；不分性别)。～唔同后生喇！(上年纪的人比不了年轻人了！)
老奀茄	lou5 ngan1 ke4-2 【喻】【谑】原指到老也长不大的茄子，喻个子长不大却显得老气的孩子。
老妈子	lou5 maa1 zi2 上年纪的母亲(这是不太庄重的称呼，一般不用于当面称呼；如用于当面称呼，则带开玩笑的口吻)。
老妈子	lou5 maa1 zi2 上年纪的保姆。我请咗个～，辞咗原先嗰个保姆仔。(我请了个老保姆，把原来那个小保姆辞了。)
老姑婆	lou5 gu1 po4 老姑娘。
老婆乸	lou5 po4 naa2 【贬】【俗】对老年妇女不尊敬的称呼。
老宗	lou5 zung1 本家；泛指同姓的人。
老实	lou5 颜色、式样朴素大方(多用于指服饰)。我噉嘅年纪，仲系着到～啲好。(我这样的年纪，还是穿得朴素点儿好。)
老实威	lou5 sat1 wai1 颜色、式样朴素大方而又带鲜艳，显得漂亮(老实：朴素大方；威：漂亮。多用于指服饰)。你呢件衫算得上系～嘞。(你这件衣服可算得上是既朴实又漂亮了。)
老懵懂	lou5 mung2 dung2 老糊涂。
老懵懂	lou5 mong2 dung2 年老糊涂的人。你而家变成个～！(你现在变成个老糊涂！)
老抽	lou5 cau1 一种色浓味淡的酱油。常作腌制食品或红烧食品用。
老朋	lou5 pang4-2 老朋友；知心的朋友。我有个～想揾你帮下手。(我有个要好的朋友想找你帮个忙。)
老母	lou5-2 mou5-2 母亲(一般不用于当面称呼)。
老水	lou5 seoi2 同「老积(渍)」。佢而家～过嗰阵时好多喇。(他现在比那时候老成多了。)
老水鸭	lou5 seoi2 aap3-2 【谑】老成、世故的人(卤水鸭是广州家常菜肴；「卤水」与「老水」谐音)。
老波骨	lou5 bo1 gwat1 【谑】老资格的、经验老到的球类运动员(波：球)。
老泥	lou5 nai4 由汗液等形成的身体污垢。成身～，冲凉喇。(浑身污垢，洗澡吧。)
老爷	lou5 je4 【旧】公公。
老猫烧须	lou5 maau1 siu1 sou1 【喻】经验很老到的人失手砸锅(须：胡须)。
老番	lou5 faan1 【谑】西洋人。
老番凉茶	lou5 faan1 loeng4 caa4 【喻】【谑】啤酒。据说啤酒具有降火的药效，类似广东人常饮用的「凉茶」，又源自外国，故称(老番：洋人)。
老祖	lou5 zou2 祖先。
老禽骑	lou5-2 kam4 ke4 老态龙钟(略带贬义)。
老积(渍)	lou5 zik1 老成；老气横秋。王仔个女细细个，之讲起话嚟～到死。(小王的女儿小小年纪，可说起话来老成得不得了。)
老积散	lou5 zik1 saan2 【谑】本为一种药名，转指老成的少年人(老积：老成)。
老窦(豆)	lou5-2 dau6-5 父亲(一般不用于当面称呼；现在有的青年用作对父亲的当面称呼，则带有开玩笑的口吻)。我～唔畀我去。(我父亲不让我去。)│～，快啲啦！(老头子，快点儿！)
老糠	lou5 hong1 初碾稻谷生产出来的粗槺，为牲畜的粗词料。
老细	lou5 sai3 老板。我哋嘅 对我哋都几好嘅。(我们的老板对我们还不错。)
老藕	lou5 ngau5 【喻】【贬】【俗】上了年纪，已失去姿色的妇人。
老虎乸	lou5 fu2 naa2 【喻】【贬】母老虎，喻凶悍的妇人。
老虎蟹	lou5 fu2 haai5 一种壳上有老虎纹斑的蟹。
老行专	lou5 hong4 zyun1 某一行业中的专家、权威。你系～喇，你话啦！(你是这一行中的权威了，你说吧！)
老表	lou5 bui2 同辈的表亲(表兄弟、表姐妹等)。我哋两个系～。(我们俩是表亲。)
老襟	lou5 kam1 连襟。
老西	lou5 sai1 【谑】西装。通常指套装。今晚去饮，梗系要着～喇(今晚赴宴，当然要穿西装。)
老身	lou5 san1 (植物的木质、果实等)因生长期长而长得结实。呢只木～啊，做家私最靓嘞。(这木头木质密实，做家具最好了。)
老阶	lou5 gaai1 【谑】本指「阶级敌人」，后作骂人话，带开玩笑的口吻。
老鼠仔	lou5 syu2 zai2 【喻】①二头肌。上臂内侧的肌肉，其隆起如老鼠状，故称。你只～咁奀㗎。(你的二头肌怎么这么小。)②二头肌受击后隆起的疙瘩。
老鼠斑	lou5 syu2 baan1 一种名贵石斑鱼。因其嘴似老鼠而名。
老鼠货	lou5 syu2 fo3 【喻】【贬】贼赃。呢间铺头专卖～，琴日畀人封咗嘞。(这间商店专门出售贼赃，昨天给查封了。)
而家	ji4(-1) gaa1 现在。～好过旧时好多喇。(现在比以前好多了。)
耍手	saa2 sau2 摆手(表不同意等)。佢猛咁～话「咪搞！」(他拼命摇手说「别！」)
耐	noi6 久。架车咁～仲未嚟㗎，急死人喇！(那辆车这么久还没来，急死人了！)│我哋等咗你好～。(我们等了你很长时间。)
耐不耐	noi6 bat1 noi6-2(-2) 同「时不时」。我啲头痛病～又嚟一次噉，好鬼麻烦。(我的头疼病不时发作，很麻烦。)
耐唔中	noi6 m4 zung1 隔些时；有时(耐：久；唔：不)。你呢个病话系好咗嗻，都系要～去医院检查下。(你这个病虽说是好了，也还是要隔一段时间就去医院检查一下。)[又作「耐中」]
耕仔	农民。
耕田	gaang1 tin4 种地。务农。～仔(庄稼汉)│而家啲农民唔净止～，仲开工厂添。(现在的农民不仅种地，还开工厂。)
耕田佬	gaang1 tin4 lou2 农民。
耳	ji5 篮子、箱子等的提手。镬～ (锅的提手)│喼～ (箱子的提手)。
耳仔	ji5 zai2耳朵。啲餸好好味，睇佢食到～都喐埋。(这菜味道很好，瞧他吃得耳朵都动起来了。)
耳仔边	ji5 zai2 bin1 【喻】①「阝」旁(在左，左耳旁。耳仔：耳朵)。②「阝」旁(左右不分)。[又作「耳仔旁」]
耳屎	ji5 si2 耳垢。
耳珠	ji5 zyu1 耳垂(耳垂浑圆如珠)。而家有啲耳环唔使穿～就可以戴㗎嘞。(现在有些耳环不用穿耳垂就能戴的。)
耳窿	ji5 lung1耳孔。唔好乱咁夭～，会整穿个耳膜㗎。(别乱掏耳孔，会弄破耳膜的。)[又作「耳仔窿」]
耷(𦖿)	dap1 (物体)下垂；耷拉。樖树断咗，～咗落涌。(那棵树折断了，垂到小河里。)
耷保	dap1 bou4 【外】双倍地增加。老细，做多咁多嘢，人工系咪～啊？(老板，多做那么多活儿，工资是不是加倍啊！)[英语double]
耷头	dap1 tau4 低头；垂下脑袋。佢耷低头，一粒声都唔出。(他低下头，一句话也不说。)│唔好～！挺胸！(别低头！挺胸！)
耷头佬	dap1 tau4 lou2 【贬】工于心计而又寡言少语的人(耷头：低头)
耷头耷脑	dap1 tau4 dap1 nou5 垂头丧气的样子(耷：低下)。输咗都唔使～嘅！(输了也用不着一副垂头丧气的模样！)
耷尾	dap1 mei5 【喻】有始无终；做事缺乏后劲(耷：下垂)。佢个人～嘅，你咪指意佢(他这人虎头蛇尾的，你别指望他。)
耷湿	dap1 sap1 (外表)寒碜；不体面。唔系话摆门面啊，有时～过头生意都拉唔倒㗎！(不是说摆门面啊，有时太寒碜了生意也拉不到哇！)
耽	dam1 延误；拖(时间)。耗(时间)。你仲要～几耐㗎？(你还 要拖多长时间？)│做家私好～时间个噃。(做家具很耗时间的呀。)[此字书面语daam1(音担心之担)]
肉刺(赤)	juk6 cek3 【喻】心疼(包括对人和，财物等)。我～个孙啊！(我心疼孙子啊！│3000文―下就冇咗，～到佢死。(3000块钱一下子就没了，他心疼得要死。)
肉滑	juk6 waat6-2 肉糜；肉泥。以牛、猪等的肉绞成的食品。牛～│猪～。
肉痛	juk6 tung3 【喻】心疼(一般限于对财物)。
肉糠	juk6 hong1 复碾稻谷生产出来的带有碎米的细槺，为牲畜的精饲料。
肉紧	juk6 gan2 【喻】①紧张；着急；特指旁观者干着急。～到佢！(看她紧张的！)│我哋仲～过佢自己。(我们比他自己更紧张。)
肉色	juk6 sik1 淡赭色。因色泽近东方人的肤色，故云。～丝袜(淡赭色的半透明丝袜)
肉蟹	juk6 haai5 厚肉丰膏的蟹。
肉酸	juk6 syun1 胳肢窝等处被搔痒或类似的感觉。唔好噉摸我啦，好～啊！(别这样摸我，弄得我直痒到心里！)
肉酸	juk6 syun1 【喻】难为情。咁多人，好～嘅。(那么多人，很难为情的。)
肉酸	juk6 seon1 难看；丑陋。嗰个女仔咁鬼难睇，仲搽脂荡粉，～到死。(那个女孩子这么丑，还涂脂搽粉的，难看死了。)
肚	tou5 ①家畜的膀胱。猪～(猪的膀胱)②家畜的胃。牛草～(牛的蜂巢胃)
肚䏙	tou5 dam1 肚皮；腹部。食咁多，因住～爆啊。(吃这么多，小心撑破肚皮。)
肚煲	tou5 bou1 【喻】肚皮；腹部。冚好被啊，因住冻亲个～。(盖好被子，小心腹部着凉。)
肚脐泵	tou5 ci4 bam1 同「肚脐煲」。
肚脐煲	tou5 ci4 bou1 肚脐(一般指小孩的)。唔好打出～！(别露出肚脐！)
肚腍	tou5 nam4 肚子不舒服；肠胃不适(腍：软)。
肚腩	tou5 naam5 肚皮；腹部；腹部的肥肉。睇下你个～，成个老细咁款。(瞧瞧你的肚皮，整个儿老板样儿。)
肚饿	tou5 ngo6 饿。你而家肚唔～？(你现在肚子饿不饿？)│我仲未～。(我还没饿。)
肠粉	coeng4-2 fan2 同「猪肠粉」。
肥	fei4 胖。～仔(胖小子)│呢个妹妹仔好～噃。(这个小妹妹很胖喔。)[普通话「肥」只用于动物，广州话也用于人]
肥仔	fei4 zai2 小胖子。
肥仔唛	fei4 zai2 mak1 【昵】小胖子。
肥仔米	fei4 zai2 mai5 粳稻米。因其颗粒肥短，故名。
肥佬	fei4 lou2 胖男人。嗰度坐住个～。(那儿坐着个胖子。)
肥头耷耳	fei4 tau4 dap1 ji5 胖头胖脑；肥头大耳(耷：下垂。略含贬义)。
肥奶奶	fei4 naai5-4 naai5-2 【谑】对上年纪的胖女人开玩笑的称呼。
肥妹	fei4 mui6-1 胖姑娘。
肥婆	fei4 po4 胖女人。
肥尸大只	fei4 si1 daai6 zek3 【贬】肥硕(大只：健壮)。你咪睇佢～，䋨嘅！(你别看他个大身粗，一副空架子！)
肥揗揗	fei4 tan4 tan4 胖乎乎(略带贬义)。肥佬～，买嚿猪肉去拜神。(童谣：胖子胖乎乎，买块猪肉去拜神。)
肥水	fei4 seoi2 对农田有肥效的水。
肥肥白白	fei4 fei4 baak6 baak6 又白又胖。休息咗两个月，变到～。(休息了两个月，变得又白又胖。)
肥腯腯	fei4 dyut1 dyunt1 (dat1 dat1) 【褒】胖嘟嘟(只用于小孩或小动物)。咿个BB～，好得意啊。(这个小孩儿胖嘟嘟的，真可爱。)
肺痨	fai3 lou4 肺结核病。～以前好难医㗎，而家呢种病就闲事嘞。(肺结核病以前很难治疗，现在这种病就没什么大不了啦。)
肺痨柴	fai3 lou4 caai4 【喻】患肺结核的人(肺痨：肺结核)。因患者往往骨瘦如柴，故称。
肾	san5 同「生水」。呢只莲藕～。(这藕是艮的。)
肾	san2 鸡鸭等的胃脏；肫。[与一般所说肾脏的「肾」字既不同音也不同义]
胀卜卜	zoeng3 bok1 bok1 胀鼓鼓。食到个肚～。(吃得肚子胀鼓鼓的。)
胆生毛	daam2 saang1 mou4 【喻】【贬】大胆(生：长)。
胆生石	daam2 saang1 sek6 胆结石。～要及早医啊，唔系痛起上嚟攞命㗎。(胆结石要及时治疗，否则疼起来要命的。)
背底	bui3 dai2 同「后背」。
背脢	bui3 mui4 背脊。你～出好多汗噃，件背心都湿晒嘞。(你的背脊上出了很多汗，背心都湿透了。)
背角	bui6 gok3 偏僻。佢住到好～，仲系揾个人陪佢翻屋企啦。(她住得很偏僻，还是找个人陪她回家吧。)[又作「背」]
背语	bui6 jyu5 ①隐语；黑话。嗰啲人斟盘都系用～嘅，你边听得倒啊。(那些人商量事情都是用隐语的，你哪听得懂呢。)②歇后语：「食猪红屙黑屎」系句～嚟嘅，即系话「即刻见 功」。(「吃猪血拉黑屎」是一句歇后语，就是说「马上见效」。)
胜	sing3 干(杯)。敬你一杯，～咗佢！(敬你一杯，干了！)
胜嘅	sing3 ge3 干杯(胜：喝干)。今日咁欢喜，嚟，～！(今天这么高兴，来，干杯！)[参见「饮胜」]
胜瓜	sing3 gwaa1 同「丝瓜」。[广州郊区有的地方「丝」与「输」同音，为避讳而改称「胜」。广州市内语音「丝」与「输」不同音，亦因「胜」字面吉利而采用此名称。]
胡「上髟下廉」须	wu4-1 lim4 sou1络腮胡子；连鬓胡子。
胡哩马查	wu4 lei1(li1) maa5 caa5 同「污(乌)哩马查」。
胡天胡帝	wu4 tin1 wu4 dai3 胡闹；乱来一气。老师一行开。班百厌仔就喺度～嘞。(老师一走开，这群调皮鬼就闹个天翻地覆。)
胡须公	wu4 sou1 gung1 长着大胡子的人。[又作「胡须佬」]
胡须勒特	wu4 sou1 lak6 dak6(gwak6) 胡子多而乱。你睇你～，仲唔剃下！(你看你胡子拉碴的，还不去刮一下！)
胳肋底	gaak3 laak1 dai2 胳肢窝。咪擳人～啦，好肉酸㗎。(别挠人家胳肢窝，很痒痒的。)
胶	gaau1 橡胶和塑料的统称。
胶丝	gaau1  si1 尼龙丝。
胶拖	gaau1 to1 橡胶或塑料拖鞋。
胶擦	gaau1 caat3-2 橡皮(擦铅笔迹的文具)。
胶箍	gaau1 ku1 橡皮筋圈儿。
胶纸袋	gaau1 zi2 doi6-2 塑料薄膜包装袋。
胸围	hung1 wai4 【雅】乳罩；抹胸。
脆皮鸡	ceoi3 pei4-2 gai1 烤鸡。因其外皮酥脆，故称。
脉门	mak6 mun4 寸口；掌后桡动脉搏动处。
脑充血	nou5 cung1 hyut3 脑溢血。高血压好易引起～。(高血压很容易引发脑溢血。)
脑囟	nou5 seon3-2 囟音笋。囟门。～未生埋。(囟门没长拢。熟语，喻幼稚无知。)
脑囟(笋)未生埋	nou5 seon2 mei6 saang1 maai4【熟】【喻】囟门还没长合，比喻幼稚或没脑筋。咁大个人都唔识用脑，～噉。(这么大的人还不会动脑筋，像囟门还没长合似的。)
脔	lin2 用于大块的肉(一般是生的)；大块。一～猪肉。
脚	goek3 下肢；特指膝盖以下部分。～毛(腿上的毛)│一只～长一只～短(一条腿长一条腿短)[普通话「脚」仅指脚腕以下部分，与广州话不相同。]
脚	goek3 【喻】牌局或游戏等中的人手。少只～，点玩啊？(少一 个人，怎么玩呢？)│你嚟埋就够～，开得台嘞。(你也来就够人玩牌了。)
脚制(掣)	goek3 zai3 脚踏刹车装置。
脚坳	goek3 aau3 膕窝，位于膝盖背面。你做咩啊？猛噉挠个～嘅？(你干嘛？老要搔眶窝？)
脚头	goek3 tau4 脚力；脚劲。嗰个前锋嘅～真劲，网都畀佢射穿咗。(那个前锋的脚力真大，网都让他给射穿了。)
脚板	goek3 baan2 脚；脚掌。个细路～零舍大。(这孩子脚特别大。)
脚板底	goek3 baan2 dai2 脚掌。地下咁多玻璃碎，仲系着翻对鞋啦，唔系好容易㓤亲～。(地上这么多碎玻璃，还是穿上鞋吧，要不很容易扎伤脚掌。)
脚步浮浮	goek3 bou6 fau4 tau4脚步不稳。饮咗两杯就～。(喝了两杯就走路也走不稳了。)
脚瓜	goek3 gwaa1 小腿；腿肚子。条涌好浅㗎咋，～咁深水。(这条小河很浅，小腿那样深的水。)
脚瓜䏙	goek3 gwaa1 dam1 同「脚瓜」。
脚瓜瓤	goek3 gwaa1 nong4-1 腿肚子。～冇肉。(腿肚子没肉。腿肚子一般比较丰满，连腿肚子都没有肉，那就极瘦了。)
脚甲	goek3 gaap3 脚趾甲。
脚眼	goek3 ngaan5 脚踝。得～咁浅水。(只有到脚踝那么浅的水。)
脚肚	goek3 tou5 同「脚瓜」。[又作「脚肚瓤」]
脚趾公	goek3 zi2 gung1 大拇趾。呢对鞋唔啱着啰，个鞋头顶实～。(这双鞋不合穿了，鞋尖顶着大拇趾。)
脚趾屘	goek3 zi2 mei1 小拇趾。行运行到～。(走运走到小拇趾上。熟语，喻运气极好。)│只袜穿咗个窿，走咗只～出嚟。(那袜子破了个洞，小拇趾跑了出来。)
脚趾罅	goek3 zi2 laa3 脚趾缝。我啲～烂，唔知系唔系生癣呢？(我的脚指缝溃烂，不知道是不是长癣？)
脚踏	goek3 daap6 自行车等的脚蹬。左边～。
脚踭	goek3 zaang1 脚后跟。呢对鞋唔系几啱，～都入唔到。(这双鞋不大合适，脚后跟都进不去。)
脚面	goek3 min6-2 脚背。～停球。(脚背停球。是足球的一种停球技巧。)
脚骨	goek3 gwat1 小腿骨。打～(敲打小腿骨。熟语，喻剪径者收买路钱，引申为收好处费、敲榨勒索。)
脚骨力	goek3 gwat1 lik6 腿力(用于走路方面)。你～几得，行咁远都唔癐。(你的腿力挺好的，走那么远都不觉得累。)
脚鱼	goek3 jyu4-2 同「水鱼」。因其有脚，故名。
脢肉	mui4 juk6 (猪)里脊(脢：背脊)。糖醋～(醋溜里脊)
脱	tyut3 用于衣服；套。一～西装│成～卖(成套出售)。
脱	tyut3 ①用于来往的人；批。啲人嚟咗一～又一～。(那些人来了一拨儿又一拨儿。)②辈、代。我哋呢～人老喇！(我们这一代人老了！)│佢哋话系两兄弟，实情唔系一～人。(他们说是两兄弟，实际上不是同一代人。)
脱牙	tyut3 ngaa3 拔牙。
脷	lei6 【婉】舌头。佢伸下条～，做咗个丑怪样。(她伸了伸舌头，做了个鬼脸。)│擘大口，畀医生睇下条～。(张大嘴巴，让医生看看舌头。)[广州话「舌」与「蚀」(蚀本即亏本)同音，因避忌而改称为「利」，又造方言字作～]
脷苔	lei6 toi4 舌苔。
脾胃	pei4 wai6 消化道的情况。呢一排个～都仲算好。(这阵子消化还算好。)
腊肠裤	laap6 coeng4-2 fu3 【喻】裤管很窄的裤子。
腊腊呤	laap3 laap3 ling3 锃亮异常。你对皮鞋擦到～。(你那双皮鞋擦得锃光瓦亮。)│呢啲家私油到～。(这些家具漆得光亮照人。)
腌臜	ap1 zap1 肮脏。呢个地方咁鬼～。(这个地方这么脏。)
腌臜	ap1 zap1 地方窄小。呢间房住四个人系～啲喇。(这个房间住四个人是窄了点儿。)[香港审音网，腌文读jim1，白读jip3。汉典网臜音zim1。]
腍	nam4 软。笪地好～，手指都厾得入。(这块地很软，连手指也可以捅进去。)
腍	nam4 【喻】本义为软，比喻和善而软弱；不容易发脾气。见倒人哋脾气～就虾人哋，噉都得嘅！(看人家脾气好就欺负人家，这怎么行！)
腍囗囗	nam4 bet6 bet6 软而烂(略含贬义)。嚿猪骨煲到～，冇牙佬都噍得。(这块猪骨头熬得非常软，连没牙齿的也嚼得动。)
腍佛	nam4 fat6 【喻】脾气很好的人(腍：软)。
腍厣	nam4 jim2 厣音掩。肋下(腍：软)。
腍啤啤	nam4 be6 be6 同「腍囗囗」。
腍啤啤	nam4 be4 be4 【喻】①性格软弱，不喜与人争锋。阿富个人～，扶唔起嘅，想帮都帮唔倒佢啦！(阿富这人蔫呼呼的，扶不起来，想帮他都帮不了。)②慢性子。我做嘢要快手嘅，同佢噉个～嘅人唔㪉嘅。(我做事要快，跟他这个慢性子的人合不来。)
腍善	nam4 sin6 性格和善(略带较弱的意味。腍：软)。你咪睇佢平日咁～，发起恶嚟不得了。(你别看他平时那么和善，发起火来不得了。)
腍甜	nam4 tim4 软而香甜(一般用于指蔬菜纤维不硬)。～白菜。
腑胵(扶翅)	fu4 ci1-2 鸡、鹅、鸭等禽类的内脏。
腕表	wun2 biu2-1 【旧】手表。
腥𦤦	seng1 hot3 同「𦤦」。
腥亨亨	seng1 hang1 hang1 【贬】很腥。啲鱼唔落姜葱，～㗎。(煮鱼不放姜和葱，太腥了。)
腥温温	seng1 wan1 wan1 【贬】很腥。啱劏完鱼，～只手又去收衫嘅！(刚杀完鱼，沾满腥味的手怎么又去收衣服！)
腩	naam5 猪、牛、鱼等腹部的肉。
腬	nau6 腻(食物油脂太多或太甜，使人不想吃)。啲肥猪肉太～，食唔落嘞。(这些肥猪肉太腻，吃不下了。)
腬喉	nau6 hau4 同「腬」。啲糖水放啲糖多得滞，好～。(这甜品糖放多了，挺腻的。)
腬市	nau6 si5 滞销(腬：腻)。
腮	soi1 腮帮子。鼓埋泡～。(鼓起腮帮子。形容生气的样子。)
腰围	jiu1 wai4 腰身。你肥咗噃，～都粗晒(你胖了，腰身都粗起来了。)
腰骨	jiu1 gwat1 腰椎骨；腰杆子。
膇	deoi3 浮肿。
膉	jik1 食油腐败变质。啲生油～咗，唔食得啰。(那些花生油已经腐败变质，不能吃了。)
膊头	bok3 tau4 肩膀。～起枕。(肩膀长了老茧。)[又作「膊」]
膏	gou1 家畜的脂肪；板油。猪～。
膏蟹	gou1 haai5 雌蟹。食蟹梗系食～喇，你识唔识拣～啊？(吃蟹肯定要吃雌蟹，你会不会挑选雌蟹？)
膝头哥	sat1 tau4 go1 膝盖。～损咗好难好。(膝盖破了很难好。)│～对上——唔就系畀(髀)啰。(膝盖上面不就是大腿啦。歇后语，意为：给就是了。畀：给。畀、髀音同。)[又作「膝头」]
膪	zaa6 同「𦜖」。隔篱嗰个嘢揼晒啲杂物出嚟～实晒个楼梯。(隔壁那家伙把杂物全扔出来，楼梯给堵死了。)
膶	jeon2 禽畜的肝脏。(广州人喜以水喻财，则「干」为不吉之语；「肝」与「干」同音相避，改称「润」(变调为第2声)，另创方言字作「～」]
臊	sou1 膻。怕～就唔食得羊肉。(怕膻就吃不了羊肉。)[普通话「臊」指尿或狐狸的气味，「膻」指羊肉的气味，广州话「～」指羊肉或狐狸的气味，而尿的气味说「压」]
臊亨亨	sou1 hang1 hang1 非常膻。
臊臊都系羊肉	sou1 sou1 dou1 hai6 joeng4 juk6 【喻】虽然有点膻，羊肉总归是肉(臊：膻)。意思是说有些利益虽不能尽如人意，但也毕竟是一种利益。少啲都攞啦，一啊嘛！(少一些也拿吧，不管怎么说也比没有好。)
臊虾(苏孲)仔	sou1 haa1 zai2 ①婴儿。②小孩(一般指较小的小孩)。[又作「臊虾」]
自	zi6 同「住」。咪～！(等一等！)│攞～咁多，唔够再嚟攞。(先拿这么多，不够再来拿。)
自不然	zi6 bat1 jin4 自然。有我喺度，呢一层。～就冇问题。(有我在，这一层自然没问题。)│到时候你～就会知道㗎嘞。(到时候你自然就会知道的。)
自动波	zi6 dung6 bo1 (汽车等的)自动换档、自动变速装置(波：变速挡)。买咗架～车。(买了一架自动换档的汽车。)
自在	zi6 zoi6 舒服。你瞓喺度咁～啊！(你躺在这儿这么舒服！)[普通话是自由而不受拘束之意，与此不同]
自梳女	zi6 so1 neoi5-2 【旧】旧时珠江三角洲农村地区的女子有终生独身的风气，凡矢志不嫁者，至成年即自行梳起发髻(如出嫁则由别人代梳)称「～」。
自由球	zi6 jau4 kau4 【外】(足球等)任意球。一脚～(直接任意球)│两脚～(间接任意球。[「～」和「任意球」是对英语free kick(脚球)或free throw(手球)的不同译法]
臭丸	cau3 jyun2 萘丸；卫生球；樟脑丸。一种驱虫剂，常用作熏衣物用，因散发出一种难闻的气味，故名。[丸文读jyun4]
臭亨亨	cau3 hang1 hang1 【贬】臭哄哄。乜呢度～㗎，倒泻屎啊？(这里怎么臭哄哄的，倒了粪便吗？)
臭屁瘌	cau3 pei3 laat3 椿象。
臭崩崩	cau3 bang1 bang1 【贬】臭哄哄。呢个厕所～，都唔知有冇洗嘅。(这个厕所臭哄哄的，也不知道有没有清洗。)
